PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
MIDLAND MALLS,1.803,0.007299595,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CONCH PLAYGROUND,1.8,0.007287449,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BENNETT PARK,1.8,0.007287449,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CEDAR PLAYGROUND,1.8,0.007287449,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RAYMOND BUSH PLAYGROUND,1.795,0.007267206,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
PLAYGROUND 52 LII,1.793,0.007259109,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,0,1
DR. GREEN PLAYGROUND,1.791,0.007251012,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BRUST PARK,1.79,0.007246964,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
LAURELTON PLAYGROUND,1.785,0.007226721,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SIMEONE PARK,1.78,0.007206478,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MANOR PARK,1.78,0.007206478,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
TAPPEN PARK,1.777,0.007194332,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
LUNA PARK,1.76,0.007125506,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,1,1,0,3
ALFRED E. SMITH PLAYGROUND,1.75,0.00708502,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
ELECTRIC PLAYGROUND,1.749,0.007080972,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
YELLOWSTONE PARK,1.745,0.007064777,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CORONA GOLF PLAYGROUND,1.722,0.00697166,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WILSON PLAYGROUND,1.721,0.006967611,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
NORTHERN PLAYGROUND,1.719,0.006959514,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,2,0,0,0,2
BARTEL-PRITCHARD SQUARE,1.711,0.006927126,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
DOUGHBOY PLAZA,1.71,0.006923077,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
CASTLE HILL LITTLE LEAGUE FIELD,1.707,0.006910931,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GRAND FERRY PARK,1.7,0.006882591,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAPPY WARRIOR PLAYGROUND,1.7,0.006882591,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
